Bodenart;Bodenschwere;1=leicht, 2=mittel, 3=schwer
S - Sand;leicht (< 15 % Ton);1
uS - schluffiger Sand;leicht (< 15 % Ton);1
lS - lehmiger Sand;leicht (< 15 % Ton);1
sU - sandiger Schluff;leicht (< 15 % Ton);1
tS - toniger Sand;mittel (15 - 25 % Ton);2
U - Schluff;mittel (15 - 25 % Ton);2
lU - lehmiger Schluff;mittel (15 - 25 % Ton);2
sL - sandiger Lehm;mittel (15 - 25 % Ton);2
L - Lehm;schwer (> 25 % Ton);3
uL - schluffiger Lehm;schwer (> 25 % Ton);3
sT - sandiger Ton;schwer (> 25 % Ton);3
lT - lehmiger Ton;schwer (> 25 % Ton);3
T - Ton;schwer (> 25 % Ton);3
